split_scheme,seed,feature_level,partition,class,precision,recall,f1_score,support
Spatial,62,B,validation,ACCIDENT,0.12130177514792899,0.4880952380952381,0.1943127962085308,84.0
Spatial,62,B,validation,OTHER_DISRUPTION,0.24444444444444444,0.44508670520231214,0.3155737704918033,173.0
Spatial,62,B,test,NORMAL,0.7093596059113301,0.2796116504854369,0.4011142061281337,515.0
Spatial,62,B,test,ACCIDENT,0.09954751131221719,0.2972972972972973,0.14915254237288136,74.0
Spatial,62,B,test,OTHER_DISRUPTION,0.25903614457831325,0.5149700598802395,0.34468937875751504,167.0
Spatial,42,C,train,NORMAL,0.6797124600638977,0.33810091378625345,0.4515786680817193,2517.0
Spatial,42,C,train,ACCIDENT,0.11769759450171821,0.39481268011527376,0.1813368630046327,347.0
Spatial,42,C,train,OTHER_DISRUPTION,0.24475524475524477,0.37544696066746125,0.29633113828786456,839.0
Spatial,42,C,validation,NORMAL,0.6896551724137931,0.32786885245901637,0.4444444444444444,549.0
Spatial,42,C,validation,ACCIDENT,0.11267605633802817,0.38095238095238093,0.17391304347826086,84.0
Spatial,42,C,validation,OTHER_DISRUPTION,0.2260536398467433,0.34104046242774566,0.271889400921659,173.0
Spatial,42,C,test,NORMAL,0.6774193548387096,0.36699029126213595,0.4760705289672544,515.0
Spatial,42,C,test,ACCIDENT,0.12260536398467432,0.43243243243243246,0.191044776119403,74.0
Spatial,42,C,test,OTHER_DISRUPTION,0.2361111111111111,0.30538922155688625,0.26631853785900783,167.0
Spatial,52,C,train,NORMAL,0.6891356066613799,0.3452522844656337,0.46003176283748015,2517.0
Spatial,52,C,train,ACCIDENT,0.12589285714285714,0.40634005763688763,0.19222903885480572,347.0
Spatial,52,C,train,OTHER_DISRUPTION,0.24886535552193645,0.39213349225268174,0.3044886626561777,839.0
Spatial,52,C,validation,NORMAL,0.6923076923076923,0.39344262295081966,0.5017421602787456,549.0
Spatial,52,C,validation,ACCIDENT,0.1308016877637131,0.36904761904761907,0.19314641744548286,84.0
Spatial,52,C,validation,OTHER_DISRUPTION,0.25680933852140075,0.3815028901734104,0.30697674418604654,173.0
Spatial,52,C,test,NORMAL,0.6845425867507886,0.42135922330097086,0.5216346153846154,515.0
Spatial,52,C,test,ACCIDENT,0.10975609756097561,0.24324324324324326,0.15126050420168066,74.0
Spatial,52,C,test,OTHER_DISRUPTION,0.23636363636363636,0.38922155688622756,0.29411764705882354,167.0
Spatial,62,C,train,NORMAL,0.6842818428184282,0.20063567739372268,0.3102918586789555,2517.0
Spatial,62,C,train,ACCIDENT,0.11274182788525684,0.48703170028818443,0.18309859154929578,347.0
Spatial,62,C,train,OTHER_DISRUPTION,0.23192360163710776,0.4052443384982122,0.2950108459869848,839.0
